,id_provincia,id_rama,periodo,Total
0,1,1,2021,884324
1,1,1,2020,768976
2,1,1,2019,791464
3,1,2,2021,1397006
4,1,2,2020,1194438
5,1,2,2019,1207915
6,1,3,2021,1018831
7,1,3,2020,910902
8,1,3,2019,918972
9,1,4,2021,465911
10,1,4,2020,415182
11,1,4,2019,497842
12,1,5,2021,1559382
13,1,5,2020,1341669
14,1,5,2019,1646811
15,1,6,2021,1440261
16,1,6,2020,1392792
17,1,6,2019,1389258
18,1,7,2021,2091603
19,1,7,2020,2055063
20,1,7,2019,2153181
21,2,1,2021,547312
22,2,1,2020,645872
23,2,1,2019,576207
24,2,2,2021,3627964
25,2,2,2020,3166272
26,2,2,2019,3280477
27,2,3,2021,2916222
28,2,3,2020,2559700
29,2,3,2019,2686800
30,2,4,2021,2556047
31,2,4,2020,2436323
32,2,4,2019,2867928
33,2,5,2021,9851680
34,2,5,2020,8362099
35,2,5,2019,10227248
36,2,6,2021,8929332
37,2,6,2020,8549617
38,2,6,2019,8710933
39,2,7,2021,8216082
40,2,7,2020,7846163
41,2,7,2019,8226777
42,3,1,2021,2443690
43,3,1,2020,2519276
44,3,1,2019,2400114
45,3,2,2021,1348695
46,3,2,2020,1302726
47,3,2,2019,1416242
48,3,3,2021,1020119
49,3,3,2020,1011494
50,3,3,2019,996328
51,3,4,2021,723957
52,3,4,2020,648214
53,3,4,2019,774405
54,3,5,2021,3793774
55,3,5,2020,3232834
56,3,5,2019,4017874
57,3,6,2021,2816431
58,3,6,2020,2687981
59,3,6,2019,2726384
60,3,7,2021,3041318
61,3,7,2020,2937782
62,3,7,2019,3007440
63,4,1,2021,201362
64,4,1,2020,189557
65,4,1,2019,212839
66,4,2,2021,3832143
67,4,2,2020,3388952
68,4,2,2019,3781684
69,4,3,2021,3473573
70,4,3,2020,3145920
71,4,3,2019,3588690
72,4,4,2021,400677
73,4,4,2020,429096
74,4,4,2019,518235
75,4,5,2021,1946392
76,4,5,2020,1669800
77,4,5,2019,1961560
78,4,6,2021,2434844
79,4,6,2020,2327165
80,4,6,2019,2392190
81,4,7,2021,2891885
82,4,7,2020,2700268
83,4,7,2019,2754616
84,5,1,2021,306301
85,5,1,2020,284291
86,5,1,2019,307966
87,5,2,2021,4572369
88,5,2,2020,3762056
89,5,2,2019,4239988
90,5,3,2021,3118701
91,5,3,2020,2508510
92,5,3,2019,2902969
93,5,4,2021,1392272
94,5,4,2020,1314621
95,5,4,2019,1521189
96,5,5,2021,4867794
97,5,5,2020,4189893
98,5,5,2019,5208875
99,5,6,2021,5075288
100,5,6,2020,4877413
101,5,6,2019,5013066
102,5,7,2021,5092263
103,5,7,2020,5025246
104,5,7,2019,5213870
105,6,1,2021,141202
106,6,1,2020,141187
107,6,1,2019,104443
108,6,2,2021,324441
109,6,2,2020,264401
110,6,2,2019,281793
111,6,3,2021,251439
112,6,3,2020,216637
113,6,3,2019,234660
114,6,4,2021,266759
115,6,4,2020,264628
116,6,4,2019,272458
117,6,5,2021,645518
118,6,5,2020,556041
119,6,5,2019,732257
120,6,6,2021,678479
121,6,6,2020,651021
122,6,6,2019,660029
123,6,7,2021,929338
124,6,7,2020,929911
125,6,7,2019,961361
126,7,1,2021,1114803
127,7,1,2020,828169
128,7,1,2019,957944
129,7,2,2021,1424693
130,7,2,2020,1284940
131,7,2,2019,1331190
132,7,3,2021,989504
133,7,3,2020,880772
134,7,3,2019,894518
135,7,4,2021,712482
136,7,4,2020,656761
137,7,4,2019,766514
138,7,5,2021,2239124
139,7,5,2020,1925604
140,7,5,2019,2274580
141,7,6,2021,2390063
142,7,6,2020,2284369
143,7,6,2019,2278521
144,7,7,2021,3630016
145,7,7,2020,3639953
146,7,7,2019,3719584
147,8,1,2021,154128
148,8,1,2020,148537
149,8,1,2019,181850
150,8,2,2021,1806386
151,8,2,2020,1674865
152,8,2,2019,1791348
153,8,3,2021,775341
154,8,3,2020,739139
155,8,3,2019,843963
156,8,4,2021,2146768
157,8,4,2020,2151854
158,8,4,2019,2447974
159,8,5,2021,8876564
160,8,5,2020,6310676
161,8,5,2019,11653261
162,8,6,2021,8116266
163,8,6,2020,7758796
164,8,6,2019,8527791
165,8,7,2021,6070699
166,8,7,2020,5860780
167,8,7,2019,6175425
168,9,1,2021,723577
169,9,1,2020,823535
170,9,1,2019,895896
171,9,2,2021,32134195
172,9,2,2020,29055554
173,9,2,2019,31248511
174,9,3,2021,27764672
175,9,3,2020,25263528
176,9,3,2019,27412031
177,9,4,2021,7393843
178,9,4,2020,7182337
179,9,4,2019,8229130
180,9,5,2021,42489644
181,9,5,2020,36678272
182,9,5,2019,46043711
183,9,6,2021,42975113
184,9,6,2020,41181032
185,9,6,2019,43372364
186,9,7,2021,31456531
187,9,7,2020,31242312
188,9,7,2019,32731702
189,10,1,2021,70267
190,10,1,2020,73997
191,10,1,2019,80500
192,10,2,2021,6216317
193,10,2,2020,5610559
194,10,2,2019,6422101
195,10,3,2021,4877367
196,10,3,2020,4163901
197,10,3,2019,4878649
198,10,4,2021,2531960
