,id_provincia,Ramas de actividad,periodo,Total
21,1,Valor añadido bruto total,2021,7838487
22,1,Valor añadido bruto total,2020,7168120
23,1,Valor añadido bruto total,2019,7686471
24,1,Impuestos netos sobre los productos,2021,825327
25,1,Impuestos netos sobre los productos,2020,687436
26,1,Impuestos netos sobre los productos,2019,788599
48,2,Valor añadido bruto total,2021,33728417
49,2,Valor añadido bruto total,2020,31006346
50,2,Valor añadido bruto total,2019,33889570
51,2,Impuestos netos sobre los productos,2021,3551318
52,2,Impuestos netos sobre los productos,2020,2973565
53,2,Impuestos netos sobre los productos,2019,3476923
75,3,Valor añadido bruto total,2021,14167865
76,3,Valor añadido bruto total,2020,13328813
77,3,Valor añadido bruto total,2019,14342459
78,3,Impuestos netos sobre los productos,2021,1491757
79,3,Impuestos netos sobre los productos,2020,1278257
80,3,Impuestos netos sobre los productos,2019,1471474
102,4,Valor añadido bruto total,2021,11707303
103,4,Valor añadido bruto total,2020,10704838
104,4,Valor añadido bruto total,2019,11621124
105,4,Impuestos netos sobre los productos,2021,1232680
106,4,Impuestos netos sobre los productos,2020,1026613
107,4,Impuestos netos sobre los productos,2019,1192277
129,5,Valor añadido bruto total,2021,21306287
130,5,Valor añadido bruto total,2020,19453520
131,5,Valor añadido bruto total,2019,21504954
132,5,Impuestos netos sobre los productos,2021,2243372
133,5,Impuestos netos sobre los productos,2020,1865628
134,5,Impuestos netos sobre los productos,2019,2206315
156,6,Valor añadido bruto total,2021,2985737
157,6,Valor añadido bruto total,2020,2807189
158,6,Valor añadido bruto total,2019,3012341
159,6,Impuestos netos sobre los productos,2021,314373
160,6,Impuestos netos sobre los productos,2020,269215
161,6,Impuestos netos sobre los productos,2019,309053
183,7,Valor añadido bruto total,2021,11511181
184,7,Valor añadido bruto total,2020,10619796
185,7,Valor añadido bruto total,2019,11328333
186,7,Impuestos netos sobre los productos,2021,1212030
187,7,Impuestos netos sobre los productos,2020,1018458
188,7,Impuestos netos sobre los productos,2019,1162238
210,8,Valor añadido bruto total,2021,27170811
211,8,Valor añadido bruto total,2020,23905508
212,8,Valor añadido bruto total,2019,30777649
213,8,Impuestos netos sobre los productos,2021,2860857
214,8,Impuestos netos sobre los productos,2020,2292582
215,8,Impuestos netos sobre los productos,2019,3157653
237,9,Valor añadido bruto total,2021,157172903
238,9,Valor añadido bruto total,2020,146163042
239,9,Valor añadido bruto total,2019,162521314
240,9,Impuestos netos sobre los productos,2021,16548982
241,9,Impuestos netos sobre los productos,2020,14017302
242,9,Impuestos netos sobre los productos,2019,16673980
264,10,Valor añadido bruto total,2021,32070180
265,10,Valor añadido bruto total,2020,30047417
266,10,Valor añadido bruto total,2019,33346591
267,10,Impuestos netos sobre los productos,2021,3376720
268,10,Impuestos netos sobre los productos,2020,2881602
269,10,Impuestos netos sobre los productos,2019,3421215
291,11,Valor añadido bruto total,2021,9297731
292,11,Valor añadido bruto total,2020,8733472
293,11,Valor añadido bruto total,2019,9610498
294,11,Impuestos netos sobre los productos,2021,978973
295,11,Impuestos netos sobre los productos,2020,837556
296,11,Impuestos netos sobre los productos,2019,985995
318,12,Valor añadido bruto total,2021,7171434
319,12,Valor añadido bruto total,2020,6571744
320,12,Valor añadido bruto total,2019,7245047
321,12,Impuestos netos sobre los productos,2021,755092
322,12,Impuestos netos sobre los productos,2020,630242
323,12,Impuestos netos sobre los productos,2019,743310
345,13,Valor añadido bruto total,2021,20479431
346,13,Valor añadido bruto total,2020,18481324
347,13,Valor añadido bruto total,2019,20999441
348,13,Impuestos netos sobre los productos,2021,2156311
349,13,Impuestos netos sobre los productos,2020,1772393
350,13,Impuestos netos sobre los productos,2019,2154451
372,14,Valor añadido bruto total,2021,12686306
373,14,Valor añadido bruto total,2020,11727623
374,14,Valor añadido bruto total,2019,12861251
375,14,Impuestos netos sobre los productos,2021,1335761
376,14,Impuestos netos sobre los productos,2020,1124700
377,14,Impuestos netos sobre los productos,2019,1319508
399,15,Valor añadido bruto total,2021,14608854
400,15,Valor añadido bruto total,2020,12981657
401,15,Valor añadido bruto total,2019,14586073
402,15,Impuestos netos sobre los productos,2021,1538189
403,15,Impuestos netos sobre los productos,2020,1244964
404,15,Impuestos netos sobre los productos,2019,1496468
426,16,Valor añadido bruto total,2021,9800887
427,16,Valor añadido bruto total,2020,9121044
428,16,Valor añadido bruto total,2019,9767319
429,16,Impuestos netos sobre los productos,2021,1031951
430,16,Impuestos netos sobre los productos,2020,874725
431,16,Impuestos netos sobre los productos,2019,1002084
453,17,Valor añadido bruto total,2021,13223779
454,17,Valor añadido bruto total,2020,11869035
455,17,Valor añadido bruto total,2019,12807798
456,17,Impuestos netos sobre los productos,2021,1392352
457,17,Impuestos netos sobre los productos,2020,1138262
458,17,Impuestos netos sobre los productos,2019,1314024
480,18,Valor añadido bruto total,2021,24742760
481,18,Valor añadido bruto total,2020,23142090
482,18,Valor añadido bruto total,2019,25138922
483,18,Impuestos netos sobre los productos,2021,2605205
484,18,Impuestos netos sobre los productos,2020,2219368
485,18,Impuestos netos sobre los productos,2019,2579144
507,19,Valor añadido bruto total,2021,4156370
508,19,Valor añadido bruto total,2020,3828093
509,19,Valor añadido bruto total,2019,4095354
510,19,Impuestos netos sobre los productos,2021,437631
511,19,Impuestos netos sobre los productos,2020,367121
512,19,Impuestos netos sobre los productos,2019,420166
534,20,Valor añadido bruto total,2021,21568065
535,20,Valor añadido bruto total,2020,19924378
536,20,Valor añadido bruto total,2019,22214647
537,20,Impuestos netos sobre los productos,2021,2270935
538,20,Impuestos netos sobre los productos,2020,1910784
539,20,Impuestos netos sobre los productos,2019,2279126
561,21,Valor añadido bruto total,2021,19320851
562,21,Valor añadido bruto total,2020,17812501
563,21,Valor añadido bruto total,2019,19797212
564,21,Impuestos netos sobre los productos,2021,2034323
565,21,Impuestos netos sobre los productos,2020,1708251
566,21,Impuestos netos sobre los productos,2019,2031108
588,22,Valor añadido bruto total,2021,15507677
589,22,Valor añadido bruto total,2020,14419412
590,22,Valor añadido bruto total,2019,15766431
591,22,Impuestos netos sobre los productos,2021,1632828
592,22,Impuestos netos sobre los productos,2020,1382848
593,22,Impuestos netos sobre los productos,2019,1617567
615,23,Valor añadido bruto total,2021,4978548
616,23,Valor añadido bruto total,2020,4606139
617,23,Valor añadido bruto total,2019,4956792
618,23,Impuestos netos sobre los productos,2021,524199
619,23,Impuestos netos sobre los productos,2020,441737
620,23,Impuestos netos sobre los productos,2019,508545
