,id_provincia,id_edad,Españoles/Extranjeros,Sexo,Año,Total
0,1,1,Españoles,Hombres,2021,27304
1,1,1,Españoles,Hombres,2020,27979
2,1,1,Españoles,Hombres,2019,28513
3,1,1,Españoles,Mujeres,2021,25547
4,1,1,Españoles,Mujeres,2020,25953
5,1,1,Españoles,Mujeres,2019,26515
6,1,1,Extranjeros,Hombres,2021,2452
7,1,1,Extranjeros,Hombres,2020,2445
8,1,1,Extranjeros,Hombres,2019,2278
9,1,1,Extranjeros,Mujeres,2021,2248
10,1,1,Extranjeros,Mujeres,2020,2191
11,1,1,Extranjeros,Mujeres,2019,2157
12,1,2,Españoles,Hombres,2021,118339
13,1,2,Españoles,Hombres,2020,118606
14,1,2,Españoles,Hombres,2019,119164
15,1,2,Españoles,Mujeres,2021,114163
16,1,2,Españoles,Mujeres,2020,114793
17,1,2,Españoles,Mujeres,2019,115270
18,1,2,Extranjeros,Hombres,2021,11655
19,1,2,Extranjeros,Hombres,2020,11488
20,1,2,Extranjeros,Hombres,2019,10695
21,1,2,Extranjeros,Mujeres,2021,9637
22,1,2,Extranjeros,Mujeres,2020,9436
23,1,2,Extranjeros,Mujeres,2019,8781
24,1,3,Españoles,Hombres,2021,33108
25,1,3,Españoles,Hombres,2020,33242
26,1,3,Españoles,Hombres,2019,32971
27,1,3,Españoles,Mujeres,2021,41204
28,1,3,Españoles,Mujeres,2020,41373
29,1,3,Españoles,Mujeres,2019,41148
30,1,3,Extranjeros,Hombres,2021,347
31,1,3,Extranjeros,Hombres,2020,321
32,1,3,Extranjeros,Hombres,2019,290
33,1,3,Extranjeros,Mujeres,2021,460
34,1,3,Extranjeros,Mujeres,2020,443
35,1,3,Extranjeros,Mujeres,2019,385
36,2,1,Españoles,Hombres,2021,121579
37,2,1,Españoles,Hombres,2020,123879
38,2,1,Españoles,Hombres,2019,125807
39,2,1,Españoles,Mujeres,2021,114198
40,2,1,Españoles,Mujeres,2020,116230
41,2,1,Españoles,Mujeres,2019,118118
42,2,1,Extranjeros,Hombres,2021,25690
43,2,1,Extranjeros,Hombres,2020,26167
44,2,1,Extranjeros,Hombres,2019,24426
45,2,1,Extranjeros,Mujeres,2021,24468
46,2,1,Extranjeros,Mujeres,2020,24953
47,2,1,Extranjeros,Mujeres,2019,23344
48,2,2,Españoles,Hombres,2021,490091
49,2,2,Españoles,Hombres,2020,488873
50,2,2,Españoles,Hombres,2019,488464
51,2,2,Españoles,Mujeres,2021,480834
52,2,2,Españoles,Mujeres,2020,480020
53,2,2,Españoles,Mujeres,2019,480081
54,2,2,Extranjeros,Hombres,2021,123928
