,id_provincia,nombre,id_ccaa
0,1,Albacete,7
1,2,Alicante,15
2,3,Almería,4
3,4,Araba,10
4,5,Asturias,11
5,6,Ávila,8
6,7,Badajoz,16
7,8,Baleares,8743
8,9,Barcelona,9
9,10,Bizkaia,10
10,11,Burgos,8
11,12,Cáceres,16
12,13,Cádiz,4
13,14,Cantabria,6
14,15,Castellón,15
15,16,Ciudad Real,7
16,17,Córdoba,4
17,18,A Coruña,17
18,19,Cuenca,7
19,20,Gipuzkoa,10
20,21,Girona,9
21,22,Granada,4
22,23,Guadalajara,7
23,24,Huelva,4
24,25,Huesca,5
25,26,Jaén,4
26,27,León,8
27,28,Lleida,9
28,29,Lugo,17
29,30,Madrid,13
30,31,Málaga,4
31,32,Murcia,21
32,33,Navarra,14
33,34,Ourense,17
34,35,Palencia,8
35,36,Las Palmas,8742
36,37,Pontevedra,17
37,38,La Rioja,20
38,39,Salamanca,8
39,40,Santa Cruz de Tenerife,8742
40,41,Segovia,8
41,42,Sevilla,4
42,43,Soria,8
43,44,Tarragona,9
44,45,Teruel,5
45,46,Toledo,7
46,47,Valencia,15
47,48,Valladolid,8
48,49,Zamora,8
49,50,Zaragoza,5
50,51,Ceuta,8744
51,52,Melilla,8745
