Provincias;Ramas de actividad;periodo;Total
Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.663.814
Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.855.556
Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.475.070
Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;8.171.130
Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;7.861.065
Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;7.456.170
Albacete;A. Agricultura, ganadería, silvicultura y pesca;2021(P);884.324
Albacete;A. Agricultura, ganadería, silvicultura y pesca;2020;768.976
Albacete;A. Agricultura, ganadería, silvicultura y pesca;2019;791.464
Albacete;A. Agricultura, ganadería, silvicultura y pesca;2018;828.906
Albacete;A. Agricultura, ganadería, silvicultura y pesca;2017;728.204
Albacete;A. Agricultura, ganadería, silvicultura y pesca;2016;751.909
Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.397.006
Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.194.438
Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.207.915
Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018;1.120.254
Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017;1.128.092
