Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2022;47.475.420
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2021;47.385.107
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2020;47.450.795
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2019;47.026.208
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2018;46.722.980
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2017;46.572.132
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2016;46.557.008
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2015;46.624.382
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2014;46.771.341
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2013;47.129.783
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2012;47.265.321
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2011;47.190.493
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2010;47.021.031
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2009;46.745.807
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2008;46.157.822
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2007;45.200.737
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2006;44.708.964
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2005;44.108.530
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2004;43.197.684
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2003;42.717.064
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2002;41.837.894
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2001;41.116.842
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2000;40.499.791
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;1999;40.202.160
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;1998;39.852.651
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2022;23.265.381
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2021;23.222.953
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2020;23.255.590
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2019;23.042.428
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2018;22.896.602
