,value,percentage,datetime,anio,ccaa
0,17812.714,1,2020-01-01T00:00:00.000+01:00,2020,Melilla
1,15817.3,1,2020-02-01T00:00:00.000+01:00,2020,Melilla
2,15735.69,1,2020-03-01T00:00:00.000+01:00,2020,Melilla
3,14737.721,1,2020-04-01T00:00:00.000+02:00,2020,Melilla
4,15573.759,1,2020-05-01T00:00:00.000+02:00,2020,Melilla
5,16708.38,1,2020-06-01T00:00:00.000+02:00,2020,Melilla
6,21140.943,1,2020-07-01T00:00:00.000+02:00,2020,Melilla
7,22335.731,1,2020-08-01T00:00:00.000+02:00,2020,Melilla
8,18793.899,1,2020-09-01T00:00:00.000+02:00,2020,Melilla
9,16551.482,1,2020-10-01T00:00:00.000+02:00,2020,Melilla
10,15635.69,1,2020-11-01T00:00:00.000+01:00,2020,Melilla
11,17166.954,1,2020-12-01T00:00:00.000+01:00,2020,Melilla
0,3648510.198,1,2020-01-01T00:00:00.000+01:00,2020,Andalucía
1,3085375.745,1,2020-02-01T00:00:00.000+01:00,2020,Andalucía
2,3136155.192,1,2020-03-01T00:00:00.000+01:00,2020,Andalucía
3,2680249.534,1,2020-04-01T00:00:00.000+02:00,2020,Andalucía
4,2833738.348,1,2020-05-01T00:00:00.000+02:00,2020,Andalucía
5,2999931.629,1,2020-06-01T00:00:00.000+02:00,2020,Andalucía
6,3944796.05,1,2020-07-01T00:00:00.000+02:00,2020,Andalucía
7,3852523.918,1,2020-08-01T00:00:00.000+02:00,2020,Andalucía
8,3248747.485,1,2020-09-01T00:00:00.000+02:00,2020,Andalucía
9,3070190.647,1,2020-10-01T00:00:00.000+02:00,2020,Andalucía
10,3040312.816,1,2020-11-01T00:00:00.000+01:00,2020,Andalucía
11,3482080.542,1,2020-12-01T00:00:00.000+01:00,2020,Andalucía
0,936969.954,1,2020-01-01T00:00:00.000+01:00,2020,Aragón
1,847063.224,1,2020-02-01T00:00:00.000+01:00,2020,Aragón
